Site ID,School Name
3,MacDowell Montessori School K3-12
6,Lincoln Middle
8,Marshall High
12,Bay View High
14,Bradley Technology High
16,Obama School of Career and Technical Education
18,Hamilton High
20,Rufus King High School
22,James Madison Academic Campus
24,North Division High
26,Pulaski High
28,Alliance School of Milwaukee
29,Riverside High
32,South Division High
33,Vincent High
35,Washington High School of Information Technology
38,Milwaukee High School of the Arts
41,Audubon MS/HS Combined
44,Wedgewood Park School
45,Morse Mid
46,Project STAY-Supporting Teachers and Youth
48,Rufus King Middle School
49,Milwaukee Parkside School
50,Hayes Bilingual School
51,Milwaukee Academy of Chinese Language
53,Carmen Mid/Hi Northwest Campus
55,Andrew S Douglas Middle
59,Roosevelt Middle
60,Reagan College Preparatory High
61,Wisconsin Conservatory of Lifelong Learning
62,Milwaukee French Immersion
65,ALBA - Academia de Lenguaje y Bellas Artes
66,Green Tree Preparatory Academy
67,Golda Meir School
71,Milwaukee School of Languages
73,Allen-Field Elementary
75,Alcott Elementary
77,Auer Avenue Elementary
81,Barton Elementary
83,King Jr Elementary
89,Brown Street Academy
93,Bruce Elementary
94,Bryant Elementary
95,Burbank Elementary
98,Burdick Elementary
104,Cass Street Elementary
110,Clarke Street Elementary
113,Clement Avenue Elementary
114,Clemens Elementary
116,Congress Elementary
117,Cooper Elementary
119,Craig Montessori School
122,Curtin Elementary
123,Browning Elementary
125,Doerfler Elementary
131,Bay View Montessori - Upper
140,Milw Spanish Immersion - Lower
143,Eighty-First Street Elementary
146,Milwaukee German Immersion
148,Elm Creative Arts Elementary
149,Starms Early Childhood
150,Emerson Elementary
152,Engleburg Elementary
154,Thurston Woods Elementary
155,Fairview Elementary
158,Fernwood Montessori
167,Milw Spanish Immersion - Upper
170,Fifty-Third Street Elementary
173,Forest Home Elementary
176,Golda Meir - Lower
179,Franklin Elementary
182,Fratney Elementary
185,Gaenslen Elementary
188,Barbee Elementary
191,IDEAL
192,Goodrich Elementary
193,Grant Elementary
194,River Trail Elementary
196,Grantosa Drive Elementary
202,Greenfield Bilingual
205,Hampton Elementary
208,Hartford Avenue Elementary
211,Hawley Environmental School
212,Hawthorne Elementary
217,Hi-Mount Elementary
218,Holmes Elementary
220,Hopkins Lloyd Community School
223,Humboldt Park Elementary
226,Milwaukee Sign Language Elementary
232,Kagel Elementary
235,Keefe Avenue Elementary
237,Kilbourn Elementary
238,LaFollette Elementary
241,Lancaster Elementary
244,Grant Gordon Learning Center
250,Lincoln Avenue Elementary
256,Longfellow Elementary
257,Lowell International Elementary
265,Manitoba Elementary
267,Maple Tree Elementary
268,Maryland Montessori
269,Bethune Academy
270,Metcalfe Elementary
274,Mitchell Elementary
277,Morgandale Elementary
283,Neeskara Elementary
289,Ninety-Fifth Street Elementary
295,Zablocki Elementary
298,Carver Academy
301,Parkview Elementary
307,Riverwest Elementary
309,Carson Academy
312,Starms Discovery
313,Riley Dual Language Montessori School
316,Academy of Accelerated Learning
318,Rogers Street Academy
319,Sherman Elementary
322,Siefert Elementary
325,Pratt Elementary
331,Milwaukee Environmental Science Academy
334,Honey Creek Elementary
337,Kluge Elementary
343,Story Elementary
344,Stuart Elementary
353,Westside Academy
360,Thoreau Elementary
362,Bay View Montessori - Lower
365,Townsend Street Elementary
368,Trowbridge Street School of Great Lakes Studies
370,Transition High
377,Jackson Elementary
380,McNair Academy
383,Groppi High
387,Victory Elementary
390,Vieau Elementary
397,Whitman Elementary
398,Whittier Elementary
399,Garland Elementary
