sheet_tab,col_index_0based,col_letter,implied_header,app_property,loaded_from_sheet,used_in_dashboard,usage_summary
1.1 Decision Flow,0,A,Site,schoolId,Yes,Yes,"Join key across sheets; map markers; Summary/Prioritize/export labels; formatted as MPS-NNN"
1.1 Decision Flow,1,B,UniqueID,(unused),No — index defined only,No,Column index present in loader constants but never read into school properties
1.1 Decision Flow,2,C,School Name,schoolName,Yes,Yes,"Map popup/search/compare; Summary tables; Prioritize ranks; CSV exports"
1.1 Decision Flow,4,E,Grouped School Levels,gradeBand,Yes,Yes,"Map compare panel; Summary tables; ranked CSV export (formatted via formatGradeBand)"
1.1 Decision Flow,5,F,Evaluate,(row filter),Yes,Yes,"Gate only: rows with Evaluate≠Yes are excluded from the dashboard dataset"
1.1 Decision Flow,6,G,"Is Above Utilization Rate (utilization % value)",utilizationRate,Yes,Yes,"Strategy decision tree; group averages in Summary; map popup/compare; Prioritize weights; CSV exports"
1.1 Decision Flow,9,J,"Enrollment growth 2019-2024 (*Average yearly change)",enrollmentGrowth5yrPct,Yes,Yes,Strategy decision tree (growth ≥ threshold branch)
1.1 Decision Flow,9,J,"Enrollment growth 2019-2024 (*Average yearly change)",enrollmentGrowth5yr,Derived in app,Yes,Boolean legacy flag: enrollmentGrowth5yrPct ≥ 0 (prefer Pct property)
1.1 Decision Flow,11,L,Will enrollment trend still be above,projectedUtilization10yr,Yes,Yes,"Strategy decision tree (over-utilized path); map compare panel"
1.1 Decision Flow,13,N,"Distance other underutilized School (Number of schools within distance)",nearUnderutilizedSchool (partial input),Yes,Yes,"OR’d with cols R/T into nearUnderutilizedSchool; strategy tree merger path"
1.1 Decision Flow,15,P,"Capacity of nearby schools to absorb / School Capacity Students",nearbyCapacityAvailable,Yes,Yes,"Strategy decision tree (group 2.4 vs 4); map compare panel"
1.1 Decision Flow,17,R,Within distance of underutilized schools serving complimentary grades / School with Complimentary Grades,nearUnderutilizedSchool (partial input),Yes,Yes,OR’d into nearUnderutilizedSchool for strategy tree
1.1 Decision Flow,19,T,Within distance of underutilized schools serving same grades / School with Same Grades,nearUnderutilizedSchool (partial input),Yes,Yes,OR’d into nearUnderutilizedSchool for strategy tree
1.1 Decision Flow,21,V,Building Score Threshold Score,buildingScore,Yes,Yes,"Strategy tree; Summary averages/tables; map popup/compare; Prioritize Building Condition; CSV exports. Prefer over 1.2 composite"
1.1 Decision Flow,23,X,Adequate Programmatic Offerings,programmaticOfferings,Yes,Yes,"Strategy tree program cutoffs; Summary tables; map popup/compare; CSV exports"
1.1 Decision Flow,23,X,Adequate Programmatic Offerings,specialtyProgramCount,Yes (alias),Yes,"Copied from programmaticOfferings; Prioritize Program Access criterion"
1.1 Decision Flow,26,AA,Site Capacity for Growth / Growth Capacity,siteExpansionCapacity,Yes,Yes,"Strategy tree (group 4 vs 2.4); map compare panel. Yes→true; N/No/N/A→false"
1.2 Building Composite Score,0,A,Site,(join key),Yes,Yes,Joins FCI/EUI/AC/composite onto schools from 1.1 by Site
1.2 Building Composite Score,9,J,FCI (raw; note points to source in 3.2/3.4),fci,Yes,Yes,Map compare panel only (not used in strategy tree or prioritization)
1.2 Building Composite Score,11,L,EUI (Energy Use Intensity),energyUseIntensity,Yes,Yes,Map compare panel only
1.2 Building Composite Score,13,N,AC percent coverage,acCoverage,Yes,Yes,"Map compare panel; Prioritize AC Status criterion (lower coverage = higher priority when weighted)"
1.2 Building Composite Score,15,P,Composite building score,buildingScore (fallback),Yes,Yes,"Used only if 1.1 building score is missing/zero; then rounded like primary score"
3.1 Connections,0,A,Site,(join key),Yes,Yes,Joins DPI code onto schools by Site
3.1 Connections,11,L,DPI School Code,dpiSchoolCode,Yes,Yes,"Normalized (strip leading zeros); joins GeoJSON SCHOOL_ID for map coordinates. Lower campuses 362/176/140 inherit upper-campus DPI when blank"
3.2 School Information,0,A,Site,(join key),Yes,Yes,Joins school-info extras onto schools by Site
3.2 School Information,4,E,Location Identification Street Address,address,Yes,Yes,Map compare panel
3.2 School Information,10,K,Board District,boardDistrict,Yes,Yes,"Formatted as District N; Strategy Group Charts (enrollment stacked by district × group)"
3.2 School Information,25,Z,Distance to Overutilized School,overutilizedMpsWithin1Mile,Yes (transformed),Yes,"True only when distance === 0; Prioritize group 4; map compare"
